q,alpha,f,start_index,end_index,min_division,max_division,correlation_alpha,correlation_f,r2_alpha,r2_f,threshold_passed
-5.0,0.019559693250961574,3.9400990831674467,4,8,10,20,0.919029378316473,0.9975981510286644,0.8446149982087628,0.99520207093581,False
-4.5,0.030173081600861764,3.8898934890344847,4,8,10,20,0.9262061785162216,0.9974580275643812,0.8578578851216229,0.9949225167526258,False
-4.0,0.04737945452991572,3.817118628986014,4,8,10,20,0.9354854141081405,0.9972425698335637,0.875132960009079,0.9944927430882503,False
-3.5,0.07586509051894995,3.7109044300739926,4,8,10,20,0.9470173357326495,0.9969138364098314,0.8968418341781657,0.9938371972253681,False
-3.0,0.12388137843525365,3.555904534441176,4,8,10,20,0.9604265506446904,0.9964363684547065,0.922419159183258,0.9928854363792037,False
-2.5,0.20555773356527204,3.3330935502268244,4,8,10,20,0.9743939980461686,0.9958305220199866,0.9494436634283967,0.9916784285865989,False
-2.0,0.34308874259834576,3.026545871272857,4,8,10,20,0.9864907062719059,0.9952962078079952,0.9731639135608438,0.990614541276976,False
-1.5,0.474150765980292,2.9372088197398902,3,8,8,20,0.9759308988612662,0.9924182719285947,0.9524411193521589,0.984894026457738,True
-1.0,1.4309673659068458,2.7683730009063767,0,8,4,20,0.9612074657127931,0.9965107191827339,0.9239197921420104,0.9930336134460896,True
-0.5,2.0294487952542046,2.311458311938148,0,8,4,20,0.9764121683868945,0.9973509018484332,0.9533807225739972,0.9947088214178831,True
0.0,2.320382713165554,2.2239409482291825,0,8,4,20,0.9895613183847987,0.9965513411472768,0.9792316028434609,0.9931145755424361,True
0.5,2.2805450985139823,2.2007972278154435,0,8,4,20,0.9970344437462053,0.9978129343739017,0.9940776820163051,0.9956306520038564,True
1.0,1.900585780566656,1.900585780566656,0,8,4,20,0.9991415574425845,0.9991415574425845,0.9982838518087933,0.9982838518087933,True
1.5,1.219103733367213,1.0416325418843493,0,8,4,20,0.9921298049432082,0.9855555740024212,0.9843215498566484,0.971319789447242,True
2.0,1.1207248104876322,0.6949212616898488,0,4,4,8,0.9788552027903631,0.8952529346889958,0.9581575080297628,0.8014778170692594,False
2.5,0.8593564646012527,0.11223873713572569,0,4,4,8,0.9387118650684237,0.20656397900132664,0.8811799656202386,0.042668677420860515,False
3.0,-0.2464480711613098,-1.4894004919239712,4,8,10,20,-0.9437059953845714,-0.9876683199675167,0.8905810057247848,0.975488710267457,False
3.5,-0.1929644294706819,-1.3146840335366436,4,8,10,20,-0.9127858967289154,-0.9840938998979983,0.8331780932672103,0.9684408038164516,False
4.0,0.4614530759403572,-0.8905696089518684,0,5,4,10,0.8669921116251235,-0.8863349909110545,0.7516753216201906,0.7855897161132991,False
4.5,0.37392333184070226,-0.9569527632103433,0,6,4,12,0.8722138855416048,-0.9468841605745991,0.7607570621315838,0.8965896135470632,False
5.0,0.37137000132714615,-0.9688855257319666,0,6,4,12,0.8868364372791852,-0.9564506477926232,0.7864788664860382,0.9147978416629287,False
